id,name,nickname,email,phone_number,birth_date,gender,profile_image_url,interested_categories,wish_markets,wish_spots,reported_count,created_at,updated_at,age,age_group,household_size,level
a3dab9c2-1a84-4f8f-994d-a5ba37da9e37,이상현,jangjiu_0,coedoyun@example.org,043-389-0838,1977-04-30,male,https://picsum.photos/id/500/200/200,{생활용품},{POINT(126.744302 37.589433)},"{(""""우리집"""",""""POINT(126.840201 37.630219)"""")}",0,2025-03-14 04:45:46,2024-12-26 21:12:36,48,40대 이상,1인 가구,3
30f68161-c98f-4219-bd5e-a8c2cdb6590a,송경숙,yeonghyii_1,yeongsugweon@example.org,032-615-5940,2000-04-27,female,https://picsum.photos/id/501/200/200,{뷰티헬스케어},{POINT(126.855186 37.551286)},"{(""""우리집"""",""""POINT(126.741941 37.566446)"""")}",0,2025-07-12 16:08:52,2025-03-29 16:42:17,25,20대,1인 가구,1
90f57c5a-8118-4364-8a48-433914579211,이유진,seoyeong10_2,eungyeongmin@example.org,033-647-5255,1978-03-31,male,https://picsum.photos/id/502/200/200,"{생활용품,뷰티헬스케어}","{POINT(127.111372 37.456113),POINT(127.093208 37.593006)}","{(""""회사"""",""""POINT(126.799966 37.521868)"""")}",0,2024-12-22 15:18:06,2025-06-19 13:02:24,47,40대 이상,1인 가구,24
cfd8d558-497f-4891-8045-5250452ba328,장명자,mijeonggim_3,oi@example.net,010-3503-0564,1987-12-02,male,https://picsum.photos/id/503/200/200,"{식품간식류,패션잡화}",{POINT(126.832554 37.442373)},"{(""""우리집"""",""""POINT(126.900340 37.692741)""""),(""""회사"""",""""POINT(127.008334 37.653939)"""")}",0,2024-10-27 23:28:38,2024-12-23 05:03:26,37,30대,2인 가구,10
8cd81d0e-290a-4a14-b396-327c9b6c7f86,박중수,igim_4,ogjabag@example.net,011-696-5328,1991-03-02,female,https://picsum.photos/id/504/200/200,"{패션잡화,생활용품}","{POINT(127.031579 37.525923),POINT(127.037596 37.619491)}","{(""""우리집"""",""""POINT(126.901057 37.663951)"""")}",0,2025-04-11 22:27:20,2024-11-06 13:53:30,34,30대,2인 가구,3
2020f8a0-a365-44d2-8ef1-bbfb762d4d23,김민지,ycoe_5,dcoe@example.net,051-801-8451,1972-12-16,female,https://picsum.photos/id/505/200/200,"{식품간식류,패션잡화,뷰티헬스케어}",{POINT(126.744445 37.491843)},"{(""""우리집"""",""""POINT(126.900755 37.474119)"""")}",0,2025-01-24 06:10:27,2025-03-20 02:51:38,52,40대 이상,1인 가구,11
059ec03d-8587-4216-8879-2fa142e41bee,곽중수,hyeonjeong28_6,munjaeho@example.net,064-793-2528,1980-07-07,male,https://picsum.photos/id/506/200/200,"{뷰티헬스케어,생활용품,식품간식류}",{POINT(126.982616 37.496589)},"{(""""회사"""",""""POINT(127.140911 37.447871)""""),(""""회사"""",""""POINT(126.954654 37.487409)"""")}",0,2025-07-31 15:52:46,2025-09-25 12:15:48,45,40대 이상,2인 가구,9
722049bd-540f-43b4-8dd8-6bf08f99d664,박미영,jiyeong43_7,gimseoyeon@example.org,032-718-2278,1969-10-16,male,https://picsum.photos/id/507/200/200,{생활용품},{POINT(127.086436 37.599410)},"{(""""회사"""",""""POINT(127.178797 37.527739)""""),(""""우리집"""",""""POINT(126.770909 37.567572)"""")}",0,2024-12-05 09:38:58,2025-01-13 05:03:41,56,40대 이상,1인 가구,14
028e101c-b473-4cc7-a1bd-ba3273d58857,이서영,yeeuni_8,jinho87@example.org,044-315-0983,2005-08-29,male,https://picsum.photos/id/508/200/200,"{패션잡화,뷰티헬스케어,생활용품}",{POINT(126.971637 37.614062)},"{(""""회사"""",""""POINT(127.178255 37.533037)"""")}",0,2025-05-18 19:12:50,2024-12-26 19:07:46,20,20대,1인 가구,9
4cba4172-c18d-4a50-a786-5bca32517114,강상현,gominjae_9,yejunbag@example.net,041-997-3763,1970-03-29,female,https://picsum.photos/id/509/200/200,"{식품간식류,패션잡화}",{POINT(126.864300 37.665040)},"{(""""우리집"""",""""POINT(126.801171 37.509245)""""),(""""우리집"""",""""POINT(127.124134 37.687530)"""")}",0,2024-11-07 21:44:05,2024-11-08 22:00:55,55,40대 이상,1인 가구,21
597a7087-3475-4d31-b57a-8d0ab5f3bc99,이준호,janghyeonji_10,gimyejin@example.org,044-338-7262,1999-01-31,male,https://picsum.photos/id/510/200/200,"{생활용품,패션잡화,식품간식류}","{POINT(127.148094 37.435259),POINT(127.104249 37.667255)}","{(""""우리집"""",""""POINT(126.802697 37.530957)"""")}",0,2025-01-18 10:47:01,2025-03-30 22:33:39,26,20대,1인 가구,10
010bcfcf-028a-4043-917b-4d4ff3a83533,김지원,gimhyejin_11,jucaeweon@example.org,042-677-3602,1986-10-01,female,https://picsum.photos/id/511/200/200,{생활용품},"{POINT(127.170093 37.650326),POINT(126.786592 37.573831)}","{(""""우리집"""",""""POINT(126.985311 37.495035)"""")}",0,2025-02-26 10:50:24,2024-10-03 02:38:39,39,30대,1인 가구,22
6f27b46e-40c8-41f9-b93f-e69d02319c9f,안영길,uhan_12,sgim@example.org,031-980-5009,1996-04-26,male,https://picsum.photos/id/512/200/200,"{식품간식류,패션잡화,뷰티헬스케어}","{POINT(127.022445 37.698690),POINT(126.962909 37.548287)}","{(""""우리집"""",""""POINT(127.122595 37.501565)""""),(""""회사"""",""""POINT(127.148011 37.690378)"""")}",0,2025-04-05 10:32:44,2025-04-15 13:27:35,29,20대,1인 가구,4
7758e4c2-f37c-40be-9cd8-ff65ab233dd9,박준혁,coeyeongsug_13,junhono@example.net,044-990-9169,1980-06-19,female,https://picsum.photos/id/513/200/200,"{식품간식류,패션잡화,생활용품}",{POINT(127.013996 37.449168)},"{(""""우리집"""",""""POINT(126.739465 37.447287)"""")}",0,2025-05-09 18:51:05,2025-04-23 07:14:34,45,40대 이상,3인 이상 가구,8
ba56fda7-e294-4e7f-bca9-073d8693b715,김정희,yeonghwangim_14,hyeonjun10@example.com,016-911-8384,1991-04-13,female,https://picsum.photos/id/514/200/200,{패션잡화},"{POINT(126.789540 37.487844),POINT(126.986969 37.682589)}","{(""""우리집"""",""""POINT(126.761886 37.662102)"""")}",0,2024-11-22 17:08:21,2025-09-29 17:09:45,34,30대,1인 가구,16
4c50e4be-e976-45a1-895d-769967aea1f0,양영미,jinhojeong_15,subin80@example.net,010-4124-1182,1993-07-02,female,https://picsum.photos/id/515/200/200,{뷰티헬스케어},"{POINT(126.940161 37.544366),POINT(127.033014 37.626850)}","{(""""회사"""",""""POINT(126.815684 37.648024)"""")}",0,2025-01-16 01:01:26,2025-01-19 16:42:48,32,30대,1인 가구,21
80b13ae7-8123-454c-a448-39e2cc850393,김은주,migyeong40_16,gangjeongsun@example.org,02-5242-7868,1984-02-01,male,https://picsum.photos/id/516/200/200,{식품간식류},{POINT(126.931876 37.481356)},"{(""""우리집"""",""""POINT(126.882686 37.538708)"""")}",0,2024-10-06 00:40:58,2024-11-14 17:17:41,41,40대 이상,2인 가구,14
a325008a-b795-4abe-9c41-9e22274fe32c,한민서,jeonseoyun_17,jinugim@example.com,031-533-1586,1974-11-15,male,https://picsum.photos/id/517/200/200,{뷰티헬스케어},{POINT(127.179677 37.443659)},"{(""""회사"""",""""POINT(127.123519 37.554910)"""")}",0,2025-05-31 07:32:21,2025-07-20 08:11:32,50,40대 이상,1인 가구,1
7052b270-02c7-4ec6-a3f4-1b0dd31ac625,김민지,jiyeonggim_18,eunseo63@example.com,042-160-7337,1980-04-08,female,https://picsum.photos/id/518/200/200,{뷰티헬스케어},{POINT(126.730970 37.474452)},"{(""""우리집"""",""""POINT(126.948539 37.474904)"""")}",0,2025-02-15 01:36:26,2025-01-28 19:08:23,45,40대 이상,1인 가구,13
0fa9f9a5-d717-4e4b-9025-fd85d0b9fdda,장승민,jia45_19,ijang@example.com,02-1429-4019,1985-03-28,female,https://picsum.photos/id/519/200/200,{생활용품},"{POINT(126.992880 37.445435),POINT(127.113724 37.565770)}","{(""""회사"""",""""POINT(127.043466 37.507017)""""),(""""회사"""",""""POINT(126.863519 37.471795)"""")}",0,2025-03-20 00:58:57,2025-02-13 12:35:31,40,40대 이상,1인 가구,6
3d830394-22de-4eac-b561-8b13efe2f5a4,나민석,yeongceolo_20,bageunju@example.net,070-3561-5951,1991-02-05,male,https://picsum.photos/id/520/200/200,{식품간식류},"{POINT(127.130629 37.462369),POINT(126.997534 37.496478)}","{(""""우리집"""",""""POINT(126.760835 37.659862)"""")}",0,2025-07-08 19:09:02,2025-09-16 19:35:57,34,30대,1인 가구,20
baeec0f3-e740-4b7e-8942-e8b024edab8b,장순옥,boram36_21,ljang@example.net,011-468-0443,1990-03-10,female,https://picsum.photos/id/521/200/200,"{패션잡화,생활용품}","{POINT(126.908104 37.494445),POINT(126.864999 37.611356)}","{(""""회사"""",""""POINT(126.984352 37.607491)"""")}",0,2025-03-18 05:24:09,2025-08-03 10:21:28,35,30대,1인 가구,11
a9a6e890-6562-451a-a1e5-517b0db727f2,박상철,yan_22,areumi@example.net,017-951-3433,1991-09-06,female,https://picsum.photos/id/522/200/200,{생활용품},{POINT(126.789605 37.566589)},"{(""""우리집"""",""""POINT(127.179304 37.553737)"""")}",0,2024-11-28 11:59:35,2024-10-11 18:12:57,34,30대,1인 가구,12
29aa7448-1c6c-4043-8868-cd8389baeb0e,박준혁,bagjiu_23,yeeuni@example.com,044-201-6328,1972-11-23,female,https://picsum.photos/id/523/200/200,"{패션잡화,뷰티헬스케어,생활용품}","{POINT(126.776614 37.681574),POINT(126.849010 37.667094)}","{(""""우리집"""",""""POINT(126.800986 37.529772)"""")}",0,2025-03-31 16:28:24,2024-10-21 18:37:26,52,40대 이상,1인 가구,4
f28f0d19-1000-4828-b395-294a73f63276,김미정,jjang_24,hayun79@example.net,064-768-7277,1986-09-16,female,https://picsum.photos/id/524/200/200,"{식품간식류,패션잡화}","{POINT(126.843005 37.566460),POINT(126.752860 37.675203)}","{(""""회사"""",""""POINT(126.824783 37.506074)"""")}",0,2025-01-10 22:23:42,2025-07-21 05:37:20,39,30대,1인 가구,21
14ec0639-3f5e-41ef-a754-41768c165824,이지영,rgang_25,sgim@example.org,051-558-1223,1986-07-30,female,https://picsum.photos/id/525/200/200,"{뷰티헬스케어,패션잡화,식품간식류}",{POINT(127.155273 37.460206)},"{(""""회사"""",""""POINT(126.880100 37.441903)""""),(""""우리집"""",""""POINT(126.847880 37.602021)"""")}",0,2025-02-28 00:42:08,2025-06-28 18:38:08,39,30대,1인 가구,23
d33dd8c4-2c36-47bf-b66a-a515b5ed6bc4,김영순,ni_26,xi@example.net,019-096-7054,1980-02-24,female,https://picsum.photos/id/526/200/200,{뷰티헬스케어},{POINT(126.894093 37.441294)},"{(""""우리집"""",""""POINT(126.992129 37.655341)"""")}",0,2025-07-21 21:27:06,2025-03-02 17:29:37,45,40대 이상,1인 가구,2
7dc44129-8573-472d-baf4-e54d053269bd,서지우,myeongsugi_27,vgim@example.net,018-627-2980,1998-04-07,male,https://picsum.photos/id/527/200/200,"{식품간식류,생활용품}",{POINT(127.094847 37.693576)},"{(""""우리집"""",""""POINT(127.030120 37.614158)""""),(""""회사"""",""""POINT(127.127861 37.640631)"""")}",0,2025-09-19 11:44:39,2025-03-04 07:05:22,27,20대,3인 이상 가구,14
e84a9d9f-7be7-490e-ae19-b32c49de725d,이준호,minseogi_28,hyeonjuni@example.com,051-641-7080,1971-08-06,female,https://picsum.photos/id/528/200/200,"{식품간식류,뷰티헬스케어}",{POINT(126.778643 37.642591)},"{(""""우리집"""",""""POINT(126.879483 37.628872)"""")}",0,2025-02-15 04:25:17,2024-12-28 08:27:24,54,40대 이상,1인 가구,2
3784b561-25bb-439a-b418-b3e35d504d62,윤지연,siugim_29,yeongilbag@example.org,011-374-5299,1974-06-03,male,https://picsum.photos/id/529/200/200,{식품간식류},{POINT(126.909310 37.608209)},"{(""""우리집"""",""""POINT(127.143303 37.483885)""""),(""""회사"""",""""POINT(127.087905 37.512402)"""")}",0,2025-07-19 17:43:37,2025-07-08 06:07:45,51,40대 이상,2인 가구,9
eca0dcb2-072a-4969-9dc6-14d3d4869150,김숙자,namseoyeong_30,ti@example.org,032-931-4919,1977-07-18,male,https://picsum.photos/id/530/200/200,"{패션잡화,생활용품,뷰티헬스케어}","{POINT(127.163140 37.478213),POINT(126.778781 37.501676)}","{(""""회사"""",""""POINT(126.959233 37.524809)"""")}",0,2025-08-02 05:14:41,2024-10-18 05:20:48,48,40대 이상,2인 가구,14
5a05f25f-16c7-447c-a840-11c2bac6e7ff,장명자,gyeongsu67_31,ijongsu@example.com,019-262-8498,1993-05-18,female,https://picsum.photos/id/531/200/200,"{생활용품,패션잡화}","{POINT(127.146509 37.430457),POINT(127.053743 37.575382)}","{(""""회사"""",""""POINT(127.172906 37.547826)""""),(""""우리집"""",""""POINT(126.989465 37.534003)"""")}",0,2025-07-30 02:44:10,2025-04-08 01:04:41,32,30대,1인 가구,24
c03bd319-cf9a-4420-aad2-6b1d4fc373d3,서서준,jeongsungim_32,dgim@example.net,016-650-7527,2001-05-21,male,https://picsum.photos/id/532/200/200,"{패션잡화,뷰티헬스케어}",{POINT(126.865145 37.624334)},"{(""""회사"""",""""POINT(127.156994 37.546450)"""")}",0,2024-12-23 15:39:18,2025-02-17 01:45:47,24,20대,1인 가구,10
0ce74ea6-4c43-466d-9651-5e2c4274c45f,양정식,boram83_33,gimjungsu@example.net,044-777-0143,1987-05-02,male,https://picsum.photos/id/533/200/200,"{식품간식류,패션잡화}","{POINT(127.105176 37.539640),POINT(126.824582 37.512046)}","{(""""회사"""",""""POINT(126.863045 37.538648)""""),(""""우리집"""",""""POINT(127.029218 37.481797)"""")}",0,2025-03-08 07:50:47,2025-06-27 22:28:42,38,30대,1인 가구,19
3d7ccddf-64e5-4ec3-8085-95d423674aeb,최영수,jihun85_34,yeweon44@example.com,044-135-1823,1986-04-23,female,https://picsum.photos/id/534/200/200,"{식품간식류,패션잡화,생활용품}","{POINT(127.014823 37.569172),POINT(127.098291 37.520501)}","{(""""회사"""",""""POINT(127.034032 37.549282)""""),(""""회사"""",""""POINT(127.161924 37.644309)"""")}",0,2024-12-25 07:24:20,2025-07-16 02:50:56,39,30대,1인 가구,25
aeccdd5e-48d4-402c-9e2a-2309b65462e6,최정훈,hyeonju34_35,jongsui@example.net,010-2400-8427,2002-09-13,female,https://picsum.photos/id/535/200/200,{생활용품},{POINT(127.005073 37.695663)},"{(""""회사"""",""""POINT(126.819608 37.490653)"""")}",0,2024-11-11 02:44:27,2025-09-06 04:53:32,23,20대,1인 가구,25
0af19773-327b-4d93-8f5a-9a33be046818,박영희,hyeonsuggim_36,egim@example.com,063-190-2294,1970-08-02,male,https://picsum.photos/id/536/200/200,{뷰티헬스케어},"{POINT(126.796407 37.537906),POINT(127.131697 37.615658)}","{(""""회사"""",""""POINT(127.013394 37.541899)"""")}",1,2024-11-04 08:29:53,2025-01-06 15:51:43,55,40대 이상,2인 가구,25
347948d5-91cc-4f68-9f93-eadef4831d8e,이은서,eungyeongi_37,li@example.com,052-990-9133,1977-10-24,male,https://picsum.photos/id/537/200/200,"{뷰티헬스케어,생활용품,패션잡화}",{POINT(127.090637 37.553245)},"{(""""회사"""",""""POINT(127.091849 37.489087)"""")}",0,2025-01-13 01:14:07,2025-06-15 18:11:28,47,40대 이상,2인 가구,22
bb7a6d23-853e-4649-bb4a-ea1782242288,김도현,iyeongja_38,oi@example.com,019-471-3493,1975-04-11,male,https://picsum.photos/id/538/200/200,{뷰티헬스케어},"{POINT(126.841258 37.499982),POINT(127.074616 37.602169)}","{(""""회사"""",""""POINT(127.053673 37.595416)""""),(""""회사"""",""""POINT(126.976542 37.654254)"""")}",0,2025-03-16 09:08:13,2024-11-15 20:20:50,50,40대 이상,2인 가구,17
66e8f015-9686-4ff7-baca-56e193fe28cd,백지은,gimeunyeong_39,jinho74@example.net,055-488-7719,1985-01-18,female,https://picsum.photos/id/539/200/200,"{생활용품,뷰티헬스케어,패션잡화}",{POINT(126.798762 37.533420)},"{(""""우리집"""",""""POINT(126.764868 37.504141)""""),(""""회사"""",""""POINT(126.881131 37.493313)"""")}",0,2024-10-17 18:05:02,2025-09-12 16:34:36,40,40대 이상,1인 가구,7
