id,name,nickname,age_group,gender,household_size
5f0d0826-7ded-4944-b157-18ab4ff73170,이상현,jangjiu_0,40대 이상,male,2인 가구
9baf4e3f-606f-461f-b335-d47a46320091,김미숙,migyeonggim_1,40대 이상,male,2인 가구
f7170c3f-0a54-4514-9c9a-4ce215bf9375,한영자,zcoe_2,40대 이상,male,1인 가구
ca2af917-18e8-4c49-869d-53a13d8de5b6,김영자,seongjin51_3,40대 이상,female,1인 가구
3071421e-f872-40eb-bce1-935466201304,이성현,eunju78_4,40대 이상,male,1인 가구
6786e8d0-c07c-4f71-911d-b473bedd4c55,이유진,seoyeong10_5,40대 이상,male,2인 가구
ab455331-dcb0-4354-8a0d-577ab058dd86,민지혜,ihyeonu_6,40대 이상,female,2인 가구
1262aea1-d528-432b-93ba-792507f3b0dc,이정남,gangseongho_7,30대,male,3인 이상 가구
4f21da3a-0b7f-40b2-8dde-e4ac455ace48,이현준,yeongsunhong_8,30대,female,3인 이상 가구
bb607272-ecb5-484c-808f-845ea0669470,김성수,minjae95_9,40대 이상,female,1인 가구
80d7c332-ff23-45e2-826b-cceddd117dcb,이하은,igim_10,40대 이상,male,2인 가구
c16978c8-ab99-4610-baf5-0881b37fe9b8,박지아,zbae_11,30대,female,1인 가구
87179473-a582-419c-b5cd-b99db5ad369f,엄영일,gweonjia_12,30대,female,1인 가구
9d2ad766-94e7-43c3-a560-9349e5607ad7,안영자,iseonyeong_13,40대 이상,male,2인 가구
ca67251b-4f12-4288-8e2b-b06ffc4bc23d,우지혜,jangsangho_14,20대,female,1인 가구
38348c3a-d79b-4f77-9cd9-2f1802608704,이수진,hyeonugwag_15,30대,female,1인 가구
4912336d-018c-4c74-9b4b-898f385b33e7,권예진,munjaeho_16,30대,female,1인 가구
5c14d71d-2c98-4664-8009-e0981b13896f,김지연,coemyeongsug_17,20대,female,1인 가구
ad0bc63d-2760-4d40-8baf-fabee54a58bf,양지현,yeongil39_18,40대 이상,male,3인 이상 가구
3b53be17-2625-418b-952e-b40417124858,박도윤,seojunbag_19,40대 이상,male,1인 가구
b0cdc84b-005d-421f-adcc-215023bef011,문승현,caeweongweon_20,40대 이상,male,2인 가구
82ee7166-8d79-4861-b6b3-cec130a9dabd,이정숙,jinho87_21,40대 이상,male,1인 가구
6cfaa121-cd12-4a2a-bcb1-8115fbd87166,김경수,seohyeongim_22,40대 이상,female,3인 이상 가구
da47e47e-1213-4dc4-9e8a-68e0d204ce2b,백준호,bagyejun_23,40대 이상,female,2인 가구
e3292579-ed23-4dbc-a4d8-8e0e4d61b229,김진우,egim_24,20대,male,1인 가구
7e082484-4602-414b-bb13-4e1b22f61597,김시우,ui_25,20대,female,2인 가구
4f8f17f2-3b20-4f1c-8232-7e101bf61fac,나미숙,zseo_26,40대 이상,male,2인 가구
af638595-0479-4bb5-b599-6058d965d5ae,김영길,dgim_27,40대 이상,female,1인 가구
9ac7b211-4177-476f-8e28-f2db5d545b31,김지원,gimhyejin_28,30대,male,1인 가구
b91227a4-60ad-496a-b7b9-c3d3e026b39a,남지혜,jungsubag_29,40대 이상,male,1인 가구
09384c3f-1f0b-43eb-b712-87f9ffad1f0c,김경숙,yi_30,20대,female,2인 가구
f9ef948a-e0a7-46ca-a9e9-bd5591e8d04f,한정웅,sgim_31,20대,female,1인 가구
2b9878ab-755f-48e2-9318-c04c1b19ca43,최유진,minseog97_32,40대 이상,female,1인 가구
af74a2df-0f70-4f52-bf32-c6bff3167fa6,박명숙,gominjae_33,20대,male,3인 이상 가구
24ffa025-5b14-49b1-9337-404e8e7a27ac,김미영,seoyungim_34,40대 이상,female,1인 가구
df88c228-3aad-4384-bffe-f2e6988b8f93,최영진,siu53_35,40대 이상,female,3인 이상 가구
01faacc8-ede3-4011-8c67-02fd8f165cc3,장성민,caeweon10_36,30대,female,2인 가구
793cc30f-2d56-4fed-be9c-758c306098f5,최미숙,migyeonggim_37,20대,male,1인 가구
8990800d-fa91-4e4d-93e3-4eaca50b60cb,양영미,jinhojeong_38,30대,male,1인 가구
ec9d2b21-5afd-409e-9fdc-4a34dcd9094d,민은지,jangboram_39,30대,female,1인 가구
bf4a8108-869e-4f8a-a9ca-33f38f454eb1,김미영,seoseongjin_40,40대 이상,female,2인 가구
fa7693b2-4f5d-40ed-91e0-45eb2541d841,오서영,migyeong40_41,30대,male,2인 가구
db2419e6-797f-4f1f-aac1-68e63a998e1b,류경희,eungyeong42_42,40대 이상,female,3인 이상 가구
44f1581f-7022-4527-8b69-dd3e2b6a36ae,이경숙,noyeongja_43,20대,female,1인 가구
d6a08878-8f32-4195-a998-87d050415aff,전은경,jinugim_44,40대 이상,male,1인 가구
590585f7-3bc4-4fbd-945c-c6b9f4afe1ab,안지혜,yeonggil31_45,30대,male,1인 가구
8edbd25d-57c6-47e6-9678-ccab78ee34b2,손영순,caeweongim_46,30대,male,1인 가구
e5dfa709-0f37-4746-8c47-db996c811f70,송춘자,gimjihye_47,40대 이상,male,1인 가구
65133d99-22d9-4aa4-b43a-f3f6a8821537,문지원,seonghyeon16_48,20대,female,1인 가구
10451949-c6b4-41fb-874f-9ab68d49d21d,김지은,yi_49,40대 이상,male,2인 가구
620fa552-b7fd-4691-ba86-ec379a85fd34,장승민,jia45_50,40대 이상,male,2인 가구
3e9e01e2-3ea9-40ed-b511-cb554fb501e9,나영철,gimhyeonjeong_51,20대,male,1인 가구
3e5a62da-28dc-4a90-bbfa-8925f4714349,나경희,yi_52,40대 이상,male,2인 가구
b133b893-9d0b-462c-b5d0-68a036e5d6ef,나민석,yeongceolo_53,30대,female,3인 이상 가구
3a6d6a63-697a-494b-a1a6-009dc0058a4c,송정순,juweongim_54,40대 이상,female,1인 가구
946e6764-c9be-4b95-921b-d90195e170ee,장미정,migyeong65_55,30대,male,1인 가구
7cb34a06-2170-429a-9fd0-ff8e0a8538fb,최서연,ljang_56,20대,male,2인 가구
fff9ae00-e1e6-4839-83e1-a78d1fc3861b,전성수,jinucoe_57,30대,male,2인 가구
8974695a-a162-4911-846b-3ae81af08316,박상철,yan_58,30대,female,1인 가구
130cd7dc-1282-4fe8-8224-32212cecf322,이정숙,sangceol34_59,40대 이상,male,1인 가구
d38c2f15-2a68-4135-84b7-bb61b2a3b354,김명숙,xgang_60,40대 이상,male,3인 이상 가구
2633fb46-f760-4073-899b-b62b957bc4b8,손영환,pbag_61,40대 이상,male,2인 가구
094d7832-5524-4b8e-9714-02848a41720a,김지아,hwangyeongsu_62,40대 이상,female,1인 가구
929d3343-1dcb-410b-8eb3-d2cc66f47cd6,최지훈,bageunjeong_63,20대,female,1인 가구
a8444d39-94e4-48bf-9f47-4354fdb31c4a,손은영,jryu_64,30대,male,2인 가구
9024d2dc-aa28-4b97-a0a9-57981caf84b7,서예은,ogja48_65,20대,female,1인 가구
f85315cd-f6cd-4a97-bdc9-17fb90c5e6fa,이미경,yeongil55_66,20대,male,1인 가구
9dc146ad-1880-42dd-ae5f-e6087651177b,김정수,minsui_67,40대 이상,female,2인 가구
284d4140-f440-4361-b9a0-508dd227c2b7,김승현,goyunseo_68,20대,female,1인 가구
90a41031-f5ce-4340-adaa-c4b3a23de639,노성민,ago_69,30대,female,3인 이상 가구
7b78260f-4e71-4a5f-abe8-ba3b0ba34688,이영식,ri_70,40대 이상,male,2인 가구
c6d8bccc-1436-403e-a6b6-382b5ef9a398,홍하은,baegseohyeon_71,20대,male,2인 가구
9b7d0e77-af2d-4e3b-8fb2-665f08b81828,이준호,minseogi_72,40대 이상,female,3인 이상 가구
fa33b812-69c5-4819-9820-ba82f300e36b,이중수,ogja64_73,40대 이상,male,1인 가구
5d67c667-56af-44e2-bd84-96605fe2fd11,권광수,yeongsig10_74,40대 이상,female,3인 이상 가구
ea230b29-91f0-4565-944d-447ffdfb7141,김경자,yeongilbag_75,40대 이상,female,2인 가구
a1da5b0d-4cdb-4f05-ad96-28d502ff4519,김정자,seongho91_76,40대 이상,male,1인 가구
57e28c20-2c8b-42a2-b383-f06171c7bc91,김경자,seoyeong66_77,40대 이상,female,2인 가구
ece141c2-5ff6-42d7-8fb1-d307313b398c,한재현,hanjaeho_78,40대 이상,female,1인 가구
41785de4-caa2-4c58-abbe-55631fb20244,최경희,ejang_79,40대 이상,female,1인 가구
9006d526-fd23-4ea6-831b-4c792aa75921,김영자,xgim_80,20대,female,1인 가구
1b054252-2c54-4428-b59b-6aa3a431ba4e,이지민,subin87_81,20대,male,1인 가구
3ef88f0f-3ee3-4fe8-8b32-7b16c3e20485,서서준,jeongsungim_82,20대,male,1인 가구
ad20c341-2bc0-4815-a75c-1e1ac2334e41,박우진,fi_83,20대,male,1인 가구
8e35be66-ddc8-4477-b914-65b32fcec96b,김주원,yejun94_84,30대,female,1인 가구
55b8df3b-d8d4-4ba1-af6b-0fdc8a087fd2,김서현,wbag_85,40대 이상,male,1인 가구
71c9c10d-2149-47a1-86a5-fc31f9fc8f4c,윤예지,gimyeongsu_86,30대,female,1인 가구
af4d1347-a801-4a28-a9e0-bed093c9a24f,최영수,jihun85_87,30대,female,1인 가구
17b58588-e20d-41d9-bda2-d888ca349d7c,이선영,ojeongsu_88,30대,male,1인 가구
ff1d53b2-0496-4348-bebd-215d9c9bd041,서서준,hyeonju34_89,40대 이상,female,3인 이상 가구
dc8a8f01-4653-4016-a575-c09352edc7b6,이정식,yejunu_90,40대 이상,female,1인 가구
02115479-7413-483d-9bfb-3003898ee665,김채원,agim_91,30대,female,2인 가구
91d8f1cf-8892-4b45-bc83-bba3466297b0,박병철,gimjia_92,30대,male,1인 가구
32aae820-d207-4753-bc33-2f596c5eba0e,이명자,gimeunji_93,40대 이상,female,3인 이상 가구
9cbf6bdf-8859-44ac-8a1b-3d01b43d8e61,김영호,yjo_94,30대,female,2인 가구
6599d23f-6d3c-4cad-953a-896580bb52be,이하은,jia64_95,40대 이상,male,1인 가구
01a3f6a5-254d-4e4b-ad96-789ce7b81341,서현정,sujini_96,40대 이상,male,3인 이상 가구
13782f0b-fd6b-43e3-9179-6a9a2554537b,김도현,iyeongja_97,40대 이상,male,2인 가구
1d8f0168-a121-42c6-b4bc-3e0a0e08fb7e,김정식,ogim_98,20대,female,1인 가구
df22679c-e4e1-4259-8cba-6d5abdc93680,강은지,jihunjeong_99,30대,male,1인 가구
2adb408b-c11b-45f9-a96b-99798e1f2f0f,류명자,eunyeongcoe_100,40대 이상,male,2인 가구
0befa2f1-2eab-40be-9445-d2efa5567fd0,박성수,gno_101,30대,female,1인 가구
70b9c4b8-c79d-4085-b4e8-ee959a2aafbb,최중수,sumin01_102,20대,female,1인 가구
227a35c4-2a99-416d-90a8-7aaa829d90f2,전은경,eomyeongsug_103,40대 이상,female,1인 가구
0fbff439-f998-4a5b-902f-0a3d1a59c424,권보람,lheo_104,30대,female,1인 가구
7fd8be24-a8ad-4e54-863c-9cc02d7fa443,박미경,jungsu51_105,20대,female,1인 가구
fd356f10-228a-4fcc-99a9-b395b4f898c2,한성민,jsong_106,40대 이상,male,2인 가구
9a02d54e-a1a2-4f33-aadb-e39661110400,이성진,amun_107,40대 이상,male,2인 가구
9a702b3f-8770-419f-abcb-bc404ad97a55,김성호,wgang_108,20대,female,1인 가구
c1c711e0-c7d5-4be6-a21c-8c965f1e3155,최지훈,fyang_109,40대 이상,male,1인 가구
c4100479-2d7d-4563-bc37-a1768a3a9ee6,강주원,jeongnamgim_110,40대 이상,male,1인 가구
f3dc45e5-11f5-46ca-a0d8-d6a02f65c4e9,진지훈,pha_111,20대,male,1인 가구
1f4821d7-0a12-4b25-82ad-dc5b8017d58c,오영일,jihu77_112,40대 이상,male,3인 이상 가구
9b510057-2632-4fa5-80a8-b2d4fa01566a,김병철,jiai_113,30대,female,2인 가구
bb7ca344-9965-4434-867e-00758f08e501,안상훈,ijaeho_114,20대,male,2인 가구
da4521ef-2ece-43c1-9d7c-219d1b243e68,박예지,minji86_115,20대,male,1인 가구
dac26082-7037-4afe-a33d-a2c024a31bd6,문현지,seoyeonggim_116,20대,female,1인 가구
e4bb70a1-29c4-485b-919e-cab6fe1fe1b9,신정식,qi_117,20대,male,2인 가구
3f97b44a-b197-4682-88bf-b8e9c0081eb3,김영일,jiyeon71_118,40대 이상,female,1인 가구
e7935eba-4bf1-4d14-9929-80fa2909da56,김민서,minjunhwang_119,20대,female,1인 가구
d7a4e712-f7a6-4a90-8b04-9ccefd41d3e1,한재호,jimin86_120,30대,female,2인 가구
db63f197-de13-4dbd-b3b2-2323d73f8981,손예지,gangyeongil_121,30대,female,3인 이상 가구
76faf87a-732b-4ef8-b849-9ae82a254603,신영희,gweonyeweon_122,30대,female,2인 가구
633a7b34-c184-44d9-a9e7-ed871982e83b,한지후,iminseog_123,40대 이상,male,2인 가구
2705abfa-4ffe-4e51-9404-661e6bcfef28,김영진,seonghogim_124,30대,female,3인 이상 가구
77710842-2343-4051-acfc-7fc6878a1819,김하은,yeongilyun_125,20대,female,1인 가구
56559d97-c44c-4244-9af9-95f50cb9528f,김준서,yeongsug21_126,20대,female,3인 이상 가구
e20188e0-df96-4341-a9d0-40a4fb052248,민수진,dhan_127,20대,female,3인 이상 가구
3682476d-3f93-4e45-80a3-f5021da91525,이영식,junyeongi_128,30대,male,3인 이상 가구
fedfc123-04a7-4697-8636-acb46f5d3921,이현지,ki_129,30대,male,1인 가구
e1b6891d-5db3-4bd4-b7d6-81a2c62ea8ec,신지현,eungyeong39_130,40대 이상,male,2인 가구
0d044e5f-6385-4ce2-8c45-1dd828c2d47c,김상훈,sugjabae_131,30대,female,3인 이상 가구
5753ee80-48b9-42c0-81ff-0676bd4b0881,박영환,byeongceoli_132,40대 이상,female,1인 가구
de143985-3e5b-4647-8bfa-bbf7faa9fdbb,김영철,mijeong42_133,20대,male,2인 가구
25bb8950-b870-4c8b-94ea-3465d61ccdf0,노현주,ogja51_134,30대,male,3인 이상 가구
26077ccc-bdf9-47fe-8b86-2a1d16694974,김현주,zju_135,20대,female,3인 이상 가구
e44350c4-816c-4502-bc60-b7545df19195,이상훈,bagyeongsug_136,30대,female,1인 가구
198bc6a1-b706-4c1c-a71c-85af6a230429,류현정,janggyeongja_137,30대,female,1인 가구
695a32ac-b69c-4482-8432-78de1dcd2d99,김명자,tbaeg_138,30대,male,3인 이상 가구
af6e4c1d-7938-4c8d-9b62-d728a4faace8,김광수,pgim_139,20대,female,1인 가구
f7f88de7-c8b7-4fea-a45b-19899e14765b,이진호,ucoe_140,40대 이상,female,1인 가구
4600c5c3-289a-4996-8a93-7fbee65bc795,윤지현,rsim_141,40대 이상,male,2인 가구
136c2829-450f-4018-a74a-de04d6278263,김영희,jimingim_142,40대 이상,male,1인 가구
04ae109f-ec9f-4696-b135-0a5918058856,구아름,hi_143,30대,female,1인 가구
53b9b475-e923-46ab-b616-e60cc86e5068,김재현,gimjeongung_144,20대,male,1인 가구
724ba7c8-9043-4f57-ba9f-bb3a1d5eef53,김지은,seoyunsong_145,40대 이상,female,2인 가구
fde04ae2-5fbe-4179-beb0-25d3b151e6c5,김지후,ihyeonji_146,40대 이상,male,2인 가구
e21ade28-34c4-43b2-94f0-8d00b6d99d90,안미영,gimjongsu_147,40대 이상,female,1인 가구
c541021d-ec05-475c-9be3-7af62f00f88a,김수민,ogsunbag_148,30대,female,1인 가구
870c7e71-9bf1-4bf4-acd0-c72271ae4900,황영일,bagyeongsu_149,40대 이상,female,1인 가구
b6f01ef0-60c6-4699-a52d-42679e22e29b,백은지,hyeonjun00_150,40대 이상,female,1인 가구
c0c4f900-62e6-4018-8179-cfe2af3a3c39,이미영,fgim_151,20대,female,1인 가구
a13d13a7-da52-423f-8bee-3306074714ec,김수민,junyeong98_152,30대,female,3인 이상 가구
669a2da3-6686-41f5-bc79-ffad72a75386,조동현,gosunja_153,30대,male,2인 가구
17a07348-56ac-41d3-a3d5-0c968783085e,손승현,ui_154,40대 이상,female,2인 가구
